comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,6166,0.017583359816616833,0.0003091745424406156,ok
real_vs_real,original,17000,18000,6186,0.029584368309522074,0.000875234848273454,ok
real_vs_real,original,18000,19000,6141,0.04189065911673108,0.0017548273212341647,ok
real_vs_real,original,19000,20000,5941,0.06747467066563374,0.004552831181435735,ok
real_vs_real,original,20000,21000,5943,0.08058701360727621,0.006494266762139322,ok
real_vs_real,original,21000,22000,5867,0.09807307306975337,0.009618327661345183,ok
real_vs_real,original,22000,23000,5827,0.1137544230272097,0.012940068758253376,ok
real_vs_real,original,23000,24000,5781,0.11901871407959318,0.014165454301159952,ok
real_vs_real,original,24000,25000,5741,0.1382380430736723,0.019109756552838475,ok
real_vs_real,original,25000,26000,5606,0.1518394514626358,0.023055219020474138,ok
real_vs_real,original,26000,27000,5736,0.166672039509789,0.027779568754352668,ok
real_vs_real,original,27000,28000,5434,0.1951312691660397,0.038076212206349436,ok
real_vs_real,original,28000,29000,5344,0.20480577258370958,0.04194540448361017,ok
real_vs_real,original,29000,30000,5340,0.22779929075436467,0.051892516868191574,ok
real_vs_real,original,30000,31000,5344,0.2348792443112015,0.05516825940820108,ok
real_vs_real,original,31000,32000,5263,0.2490689561621695,0.06203534492371271,ok
real_vs_real,original,32000,33000,5368,0.25588539624902334,0.06547733601351968,ok
real_vs_real,original,33000,34000,5210,0.2653491901818621,0.07041019273017002,ok
real_vs_real,original,34000,35000,5314,0.2779419450563488,0.07725172482170639,ok
real_vs_real,original,35000,36000,5379,0.28716607934101296,0.08246435712408895,ok
real_vs_real,original,36000,37000,5171,0.3037835825310132,0.0922844650153769,ok
real_vs_real,original,37000,38000,5192,0.3136154355381448,0.09835464140778027,ok
real_vs_real,original,38000,39000,5268,0.3214623884472119,0.10333806718618616,ok
real_vs_real,original,39000,40000,5368,0.3220485789797303,0.1037152872228636,ok
real_vs_real,original,40000,41000,5281,0.3230885930529324,0.10438623896092336,ok
real_vs_real,original,41000,42000,5289,0.3361931709726846,0.11302584820866873,ok
