comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,4675,0.03156744981501105,0.0009965038878232413,ok
real_vs_real,original,17000,18000,4381,0.06622746979223272,0.004386077755081097,ok
real_vs_real,original,18000,19000,4066,0.11296414287494014,0.012760897575469887,ok
real_vs_real,original,19000,20000,3949,0.15045591494618393,0.022636982342293333,ok
real_vs_real,original,20000,21000,3648,0.20701079644095471,0.042853469843118386,ok
real_vs_real,original,21000,22000,3526,0.218511702097095,0.04774736395336959,ok
real_vs_real,original,22000,23000,3695,0.22624681028527652,0.0511876191642619,ok
real_vs_real,original,23000,24000,3423,0.2541347837766201,0.06458448832518943,ok
real_vs_real,original,24000,25000,3360,0.2850725427447865,0.08126635462697812,ok
real_vs_real,original,25000,26000,3458,0.2681024046513963,0.07187889937986103,ok
real_vs_real,original,26000,27000,3352,0.2814558902306113,0.07921741814550592,ok
real_vs_real,original,27000,28000,3498,0.2714311597406326,0.0736748744781448,ok
real_vs_real,original,28000,29000,3618,0.26665578637969894,0.07110530840977564,ok
real_vs_real,original,29000,30000,3510,0.2941375432711753,0.08651689436160254,ok
real_vs_real,original,30000,31000,3653,0.27719791866500293,0.07683868611220956,ok
real_vs_real,original,31000,32000,3473,0.30874031776019506,0.09532058381066622,ok
real_vs_real,original,32000,33000,3466,0.3340845111424053,0.11161246058525992,ok
real_vs_real,original,33000,34000,3537,0.33950865695164356,0.11526612814510878,ok
real_vs_real,original,34000,35000,4110,0.34224566714096233,0.11713209667676239,ok
real_vs_real,original,35000,36000,4951,0.35234525936907934,0.12414718179986378,ok
real_vs_real,original,36000,37000,5577,0.36197621814263414,0.13102678250084387,ok
real_vs_real,original,37000,38000,5907,0.37138369202624927,0.13792584670304797,ok
real_vs_real,original,38000,39000,6165,0.38616058137221865,0.1491199946057299,ok
real_vs_real,original,39000,40000,6115,0.38832232409391965,0.15079422738970316,ok
real_vs_real,original,40000,41000,6104,0.3999756122272221,0.15998049037654116,ok
real_vs_real,original,41000,42000,6097,0.40934531584378414,0.1675635876032474,ok
real_vs_real,original,42000,43000,6192,0.41410417237277036,0.17148226557653712,ok
real_vs_real,original,43000,44000,6257,0.42448618105893127,0.1801885179099958,ok
real_vs_real,original,44000,45000,6675,0.43137672996073906,0.1860858831516204,ok
real_vs_real,original,45000,46000,6576,0.43488756741447243,0.1891271962916773,ok
real_vs_real,original,46000,47000,6608,0.446845036187067,0.19967048636502122,ok
real_vs_real,original,47000,48000,6542,0.4531417300930137,0.20533742755168966,ok
real_vs_real,original,48000,49000,6307,0.45802160896416527,0.20978379427812271,ok
real_vs_real,original,49000,50000,6433,0.4598548831552661,0.21146651356174345,ok
real_vs_real,original,50000,51000,6720,0.45698314989571504,0.20883359928860956,ok
real_vs_real,original,51000,52000,6714,0.46769131742727504,0.21873516839686014,ok
real_vs_real,original,52000,53000,6787,0.4704228076158561,0.22129761792518474,ok
real_vs_real,original,53000,54000,7124,0.47476849080681477,0.22540511986298056,ok
real_vs_real,original,54000,55000,7146,0.4769940349789803,0.22752330940552867,ok
real_vs_real,original,55000,56000,7339,0.4789159488255847,0.22936048603951006,ok
real_vs_real,original,56000,57000,7187,0.48555271503998626,0.2357614390827021,ok
real_vs_real,original,57000,58000,7248,0.4874258059247219,0.23758391628136463,ok
real_vs_real,original,58000,59000,7428,0.4886077651814709,0.23873754819563145,ok
real_vs_real,original,59000,60000,7223,0.49064762230268594,0.24073508927127918,ok
real_vs_real,original,60000,61000,7387,0.4939503913551672,0.24398698911992286,ok
real_vs_real,original,61000,62000,7483,0.49269454479287733,0.2427479144686606,ok
real_vs_real,original,62000,63000,7357,0.4930763126037361,0.24312425005089727,ok
real_vs_real,original,63000,64000,7534,0.49290532232942547,0.24295565678067482,ok
real_vs_real,original,64000,65000,7511,0.49460444709097295,0.24463355908216705,ok
real_vs_real,original,65000,66000,7323,0.4962044530845528,0.24621885926094014,ok
real_vs_real,original,66000,67000,7297,0.49772462182263627,0.2477297991684863,ok
real_vs_real,original,67000,68000,7158,0.49659205717585586,0.24660367125014848,ok
real_vs_real,original,68000,69000,7253,0.4932641404409354,0.24330951224493486,ok
real_vs_real,original,69000,70000,7134,0.49019550114206323,0.24029162933991852,ok
real_vs_real,original,70000,71000,7033,0.4888188708185717,0.23894388846834352,ok
real_vs_real,original,71000,72000,6941,0.4839184484047223,0.23417706470643387,ok
real_vs_real,original,72000,73000,6857,0.4803679377122592,0.23075335558192894,ok
real_vs_real,original,73000,74000,6681,0.48356057598981095,0.23383083065159774,ok
real_vs_real,original,74000,75000,6518,0.4810878703407497,0.231445538988998,ok
real_vs_real,original,75000,76000,6435,0.4763022976654176,0.22686387876135608,ok
real_vs_real,original,76000,77000,6495,0.47683455444488043,0.22737119231264763,ok
real_vs_real,original,77000,78000,6460,0.4684607443211706,0.21945546896994517,ok
real_vs_real,original,78000,79000,6383,0.4606372151009077,0.2121866439359199,ok
real_vs_real,original,79000,80000,6536,0.4576755488944378,0.2094669080558249,ok
real_vs_real,original,80000,81000,6397,0.4482650160847429,0.2009415246454548,ok
real_vs_real,original,81000,82000,6349,0.44664034452174145,0.1994875973544999,ok
