comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,6166,3.414659377889033,,ok
real_vs_real,original,17000,18000,6186,5.486513655281797,,ok
real_vs_real,original,18000,19000,6141,6.989857575179105,,ok
real_vs_real,original,19000,20000,5941,10.536257938427005,,ok
real_vs_real,original,20000,21000,5943,12.246901348500641,,ok
real_vs_real,original,21000,22000,5867,14.17117252333478,,ok
real_vs_real,original,22000,23000,5827,16.70468223454521,,ok
real_vs_real,original,23000,24000,5781,17.688724863470807,,ok
real_vs_real,original,24000,25000,5741,20.401341571403936,,ok
real_vs_real,original,25000,26000,5606,22.163870391500396,,ok
real_vs_real,original,26000,27000,5736,24.37040583814037,,ok
real_vs_real,original,27000,28000,5434,26.957873980148452,,ok
real_vs_real,original,28000,29000,5344,28.226032945575803,,ok
real_vs_real,original,29000,30000,5340,31.006883632070757,,ok
real_vs_real,original,30000,31000,5344,31.171367671410145,,ok
real_vs_real,original,31000,32000,5263,33.42675778673852,,ok
real_vs_real,original,32000,33000,5368,33.13972872217645,,ok
real_vs_real,original,33000,34000,5210,34.532495792619194,,ok
real_vs_real,original,34000,35000,5314,35.249788305251315,,ok
real_vs_real,original,35000,36000,5379,35.61452955327591,,ok
real_vs_real,original,36000,37000,5171,36.35451308446028,,ok
real_vs_real,original,37000,38000,5192,37.26198295859236,,ok
real_vs_real,original,38000,39000,5268,35.899651876001414,,ok
real_vs_real,original,39000,40000,5368,34.95813656745775,,ok
real_vs_real,original,40000,41000,5281,33.91551448319101,,ok
real_vs_real,original,41000,42000,5289,35.49894557271238,,ok
real_vs_real,original,42000,43000,5387,34.65231035697805,,ok
real_vs_real,original,43000,44000,5341,34.53502859865496,,ok
real_vs_real,original,44000,45000,5405,34.073724865927346,,ok
real_vs_real,original,45000,46000,5439,34.225543638811395,,ok
real_vs_real,original,46000,47000,5361,34.67514070678414,,ok
real_vs_real,original,47000,48000,5386,33.97496651953511,,ok
real_vs_real,original,48000,49000,5506,33.827870193570185,,ok
real_vs_real,original,49000,50000,5456,33.79076556898325,,ok
real_vs_real,original,50000,51000,5400,33.906940448191705,,ok
real_vs_real,original,51000,52000,5625,34.36852152855203,,ok
real_vs_real,original,52000,53000,5465,34.755135708451114,,ok
real_vs_real,original,53000,54000,5459,34.269592313180844,,ok
real_vs_real,original,54000,55000,5471,34.60035793393817,,ok
real_vs_real,original,55000,56000,5457,34.49352521287471,,ok
real_vs_real,original,56000,57000,5402,35.87964686888107,,ok
real_vs_real,original,57000,58000,5352,38.10324452561463,,ok
real_vs_real,original,58000,59000,5236,38.477859859046475,,ok
real_vs_real,original,59000,60000,5305,40.307610011776816,,ok
real_vs_real,original,60000,61000,5017,40.09202121429741,,ok
real_vs_real,original,61000,62000,5158,40.59018595576172,,ok
