comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,4808,4.666812626656207,,ok
real_vs_real,original,17000,18000,4741,5.895414024767768,,ok
real_vs_real,original,18000,19000,4794,7.453760342909438,,ok
real_vs_real,original,19000,20000,4917,9.541522407507674,,ok
real_vs_real,original,20000,21000,4805,9.25393173285131,,ok
real_vs_real,original,21000,22000,4786,10.71368487401382,,ok
real_vs_real,original,22000,23000,4892,10.568342528660082,,ok
real_vs_real,original,23000,24000,5022,12.118940719421476,,ok
real_vs_real,original,24000,25000,5033,14.503275288576017,,ok
real_vs_real,original,25000,26000,5024,15.041830618003537,,ok
real_vs_real,original,26000,27000,5119,16.08635618883458,,ok
real_vs_real,original,27000,28000,4953,17.609204081715934,,ok
real_vs_real,original,28000,29000,4956,17.352179891930174,,ok
real_vs_real,original,29000,30000,5025,17.533162972627846,,ok
real_vs_real,original,30000,31000,4940,17.672855424212273,,ok
real_vs_real,original,31000,32000,5117,19.769470774868513,,ok
real_vs_real,original,32000,33000,4969,20.45407338435799,,ok
real_vs_real,original,33000,34000,5009,20.322503601614194,,ok
real_vs_real,original,34000,35000,4969,22.542661798999376,,ok
real_vs_real,original,35000,36000,5008,23.42794811082005,,ok
real_vs_real,original,36000,37000,4896,24.725257145516924,,ok
real_vs_real,original,37000,38000,4887,24.578057387248034,,ok
real_vs_real,original,38000,39000,4904,26.23429654539521,,ok
real_vs_real,original,39000,40000,4840,27.272811689986458,,ok
real_vs_real,original,40000,41000,4773,26.990582576115237,,ok
real_vs_real,original,41000,42000,4866,28.32609233357208,,ok
real_vs_real,original,42000,43000,4828,29.87756189189488,,ok
real_vs_real,original,43000,44000,4837,30.002649148165773,,ok
real_vs_real,original,44000,45000,4798,31.987943445015098,,ok
real_vs_real,original,45000,46000,4591,33.06096255300791,,ok
real_vs_real,original,46000,47000,4649,31.75951234464713,,ok
real_vs_real,original,47000,48000,4708,33.31836236655882,,ok
real_vs_real,original,48000,49000,4679,33.84745674297078,,ok
real_vs_real,original,49000,50000,4694,34.96035669420185,,ok
real_vs_real,original,50000,51000,4734,34.432874556382224,,ok
real_vs_real,original,51000,52000,4671,36.32164617235106,,ok
real_vs_real,original,52000,53000,4528,36.618959021085715,,ok
real_vs_real,original,53000,54000,4499,36.828034843841614,,ok
real_vs_real,original,54000,55000,4467,37.964031067067616,,ok
real_vs_real,original,55000,56000,4426,38.657810199182855,,ok
real_vs_real,original,56000,57000,4419,39.44525100081845,,ok
real_vs_real,original,57000,58000,4526,39.72373027404794,,ok
real_vs_real,original,58000,59000,4468,39.84455987335087,,ok
real_vs_real,original,59000,60000,4409,40.749033248294836,,ok
real_vs_real,original,60000,61000,4387,41.33772559006184,,ok
real_vs_real,original,61000,62000,4293,41.69303092966747,,ok
real_vs_real,original,62000,63000,4253,42.76261428983162,,ok
real_vs_real,original,63000,64000,4223,42.12844208550994,,ok
real_vs_real,original,64000,65000,4192,43.23118953156421,,ok
real_vs_real,original,65000,66000,4326,42.66132811844698,,ok
real_vs_real,original,66000,67000,4376,42.22274663648286,,ok
real_vs_real,original,67000,68000,4407,42.97045752317213,,ok
real_vs_real,original,68000,69000,4364,42.51948816608612,,ok
real_vs_real,original,69000,70000,4328,42.52239430753942,,ok
real_vs_real,original,70000,71000,4307,42.20773599845112,,ok
real_vs_real,original,71000,72000,4258,42.44938759805049,,ok
