comparison_set,window_start,window_end,n_events,mmd,mmd_squared,status
real_vs_real,6000,9000,5732,0.03021442678615687,0.0009129115860160339,ok
real_vs_real,9000,12000,5419,0.0334999841580539,0.001122248938589862,ok
real_vs_real,12000,15000,5638,0.032729676456252396,0.0010712317209309625,ok
real_vs_real,15000,18000,5985,0.032648790036117585,0.001065943490822491,ok
real_vs_real,18000,21000,5761,0.03285480025604235,0.0010794378998644405,ok
real_vs_real,21000,24000,6168,0.032295888200303186,0.0010430243946464826,ok
real_vs_real,24000,27000,6368,0.03256370304431463,0.0010603947559583056,ok
real_vs_real,27000,30000,6403,0.03251147273879144,0.0010569958596451786,ok
real_vs_real,30000,33000,6648,0.032573767736365736,0.0010610503445427012,ok
real_vs_real,33000,36000,6986,0.032538423999357476,0.0010587490363619624,ok
real_vs_real,36000,39000,6832,0.03266188329775438,0.0010667986205561265,ok
real_vs_real,39000,42000,7128,0.032774728016593105,0.0010741827965616531,ok
real_vs_real,42000,45000,7342,0.0335154566742339,0.0011232858360824493,ok
real_vs_real,45000,48000,7371,0.033976553938898965,0.001154406217562911,ok
real_vs_real,48000,51000,7421,0.0342073937166306,0.0011701457848845786,ok
real_vs_real,51000,54000,7222,0.03417408873738881,0.0011678683410309247,ok
real_vs_real,54000,57000,7161,0.03416993777911667,0.001167584647828705,ok
real_vs_real,57000,60000,7321,0.033946443329164036,0.0011523610147001456,ok
real_vs_real,60000,63000,7077,0.0339456536649847,0.0011523074027430889,ok
real_vs_real,63000,66000,7105,0.03391366102428901,0.0011501364040703795,ok
real_vs_real,66000,69000,7301,0.034137881808754954,0.0011653949743885223,ok
real_vs_real,69000,72000,7084,0.03407324342664965,0.0011609859176117234,ok
real_vs_real,72000,75000,7158,0.03386229328464032,0.001146654906494997,ok
real_vs_real,75000,78000,6987,0.03378402611439167,0.0011413604204978986,ok
real_vs_real,78000,81000,6918,0.034282835155888786,0.0011753127863258443,ok
real_vs_real,81000,84000,6802,0.03320510108787474,0.0011025787382559805,ok
real_vs_real,84000,87000,6565,0.03263531388538235,0.0010650637123974299,ok
real_vs_real,87000,90000,6603,0.032215075678693555,0.0010378111009839532,ok
real_vs_real,90000,93000,6406,0.032646873820135536,0.0010658183702278508,ok
real_vs_real,93000,96000,6133,0.031943150744394966,0.0010203648794791407,ok
real_vs_real,96000,99000,6040,0.0316181715805505,0.000999708774097131,ok
real_vs_real,99000,102000,5942,0.03202716569371687,0.001025739342372795,ok
real_vs_real,102000,105000,5995,0.03156595245953555,0.0009964093546776585,ok
real_vs_real,105000,108000,5953,0.03154267263765462,0.0009949401971262454,ok
real_vs_real,108000,111000,5815,0.03195856707393354,0.001021350009419109,ok
real_vs_real,111000,114000,5878,0.031709699102355916,0.0010055050171619514,ok
real_vs_real,114000,117000,5920,0.0318751125905858,0.0010160228026625212,ok
real_vs_real,117000,120000,5720,0.03246544960985505,0.0010540054183700372,ok
real_vs_real,120000,123000,5991,0.03164683560121961,0.0010015222035706208,ok
real_vs_real,123000,126000,6105,0.031776986667256674,0.0010097768816510083,ok
real_vs_real,126000,129000,6091,0.03176839814212029,0.001009231120516272,ok
real_vs_real,129000,132000,6427,0.031156371620155464,0.0009707194925332287,ok
real_vs_real,132000,135000,6365,0.03167196463443007,0.0010031133438045889,ok
real_vs_real,135000,138000,6552,0.031449232763290064,0.0009890542413995972,ok
real_vs_real,138000,141000,6786,0.031255760745068716,0.0009769225797529783,ok
real_vs_real,141000,144000,6566,0.03136520313711398,0.0009837759678324245,ok
real_vs_real,144000,147000,6638,0.03121295733232354,0.0009742487054294498,ok
real_vs_real,147000,150000,6491,0.031310026387884035,0.0009803177524099944,ok
real_vs_real,150000,153000,6397,0.031464773448892876,0.0009900319681901539,ok
real_vs_real,153000,156000,6437,0.03110024101831721,0.0009672249913974202,ok
real_vs_real,156000,159000,6172,0.031509015134419074,0.0009928180347410502,ok
real_vs_real,159000,162000,5959,0.031681064577921816,0.0010036898527904525,ok
real_vs_real,162000,165000,5919,0.03157160787226194,0.000996766423639872,ok
real_vs_real,165000,168000,5914,0.031856405149257805,0.001014830549033659,ok
real_vs_real,168000,171000,5735,0.031826064447574,0.0010128983782211336,ok
real_vs_real,171000,174000,5762,0.03187130425506864,0.0010157800349191567,ok
real_vs_real,174000,177000,5786,0.03256812396503179,0.0010606826986016777,ok
real_vs_real,177000,180000,6339,0.03251413506518369,0.0010571689790370078,ok
real_vs_real,180000,183000,6503,0.03325411911028538,0.0011058364378010472,ok
real_vs_real,183000,186000,6675,0.03358240560766408,0.001127777966397668,ok
real_vs_real,186000,189000,6737,0.03378743631735467,0.0011415908528992972,ok
real_vs_real,189000,192000,6915,0.03384697699701834,0.0011456178518366882,ok
real_vs_real,192000,195000,7022,0.03380385172414741,0.001142700391388144,ok
real_vs_real,195000,198000,7204,0.03364877097293882,0.00113223978798929,ok
real_vs_real,198000,201000,7266,0.03398229998667656,0.0011547967123844776,ok
real_vs_real,201000,204000,7055,0.033981508221194695,0.0011547429009871229,ok
real_vs_real,204000,207000,7248,0.03375057914468714,0.0011391015926017903,ok
real_vs_real,207000,210000,7126,0.03373606209955785,0.001138121885985224,ok
real_vs_real,210000,213000,6850,0.034009223589655344,0.0011566272891711696,ok
real_vs_real,213000,216000,7034,0.03354918209820097,0.0011255476194582485,ok
real_vs_real,216000,219000,6823,0.03406599412910093,0.0011604919560039388,ok
real_vs_real,219000,222000,6770,0.03378161755478213,0.001141197684617564,ok
real_vs_real,222000,225000,6889,0.03371895996622238,0.0011369682612037075,ok
real_vs_real,225000,228000,6641,0.033973970512429466,0.0011542306723794269,ok
real_vs_real,228000,231000,6690,0.033493164578006884,0.0011217920734494552,ok
real_vs_real,231000,234000,6631,0.03359879314083056,0.0011288789005203226,ok
real_vs_real,234000,237000,6409,0.033610991210538156,0.0011296987301548734,ok
real_vs_real,237000,240000,6517,0.03291094160737483,0.001083130077484036,ok
real_vs_real,240000,243000,6367,0.033314409006887084,0.0011098498474781593,ok
real_vs_real,243000,246000,6303,0.03279507470426786,0.0010755169248585095,ok
real_vs_real,246000,249000,6252,0.032787668302706505,0.0010750311927283048,ok
real_vs_real,249000,252000,6316,0.03273641628199547,0.0010716729509880985,ok
real_vs_real,252000,255000,6097,0.03264231081490899,0.0010655204553371243,ok
