comparison_set,variant,window_start,window_end,n_events,kernel_index,rbf_kernel_max_distance,rbf_kernel_target_similarity,weight_method,weight,mmd,mmd_squared,status
real_vs_real,original,16000,17000,6166,0,15,0.5,uniform,1.0,0.030011945165410656,0.000900716852611616,ok
real_vs_real,original,17000,18000,6186,0,15,0.5,uniform,1.0,0.05489213094951828,0.0030131460401790627,ok
real_vs_real,original,18000,19000,6141,0,15,0.5,uniform,1.0,0.08031873651510653,0.006451099435383106,ok
real_vs_real,original,19000,20000,5941,0,15,0.5,uniform,1.0,0.10570339804380655,0.011173208358007405,ok
real_vs_real,original,20000,21000,5943,0,15,0.5,uniform,1.0,0.12914076797286178,0.016677337952620525,ok
real_vs_real,original,21000,22000,5867,0,15,0.5,uniform,1.0,0.14706590242397807,0.02162837965577904,ok
real_vs_real,original,22000,23000,5827,0,15,0.5,uniform,1.0,0.1652962816757711,0.027322860735835855,ok
real_vs_real,original,23000,24000,5781,0,15,0.5,uniform,1.0,0.17979133440309722,0.03232492392644633,ok
real_vs_real,original,24000,25000,5741,0,15,0.5,uniform,1.0,0.19447392508389497,0.03782010753753639,ok
real_vs_real,original,25000,26000,5606,0,15,0.5,uniform,1.0,0.20700166558521607,0.042849689555053624,ok
real_vs_real,original,26000,27000,5736,0,15,0.5,uniform,1.0,0.21539464668202712,0.0463948538192753,ok
real_vs_real,original,27000,28000,5434,0,15,0.5,uniform,1.0,0.22782714015135724,0.051905205789546174,ok
real_vs_real,original,28000,29000,5344,0,15,0.5,uniform,1.0,0.2359439051488721,0.055669526376899946,ok
real_vs_real,original,29000,30000,5340,0,15,0.5,uniform,1.0,0.24325385472130223,0.05917243783677241,ok
real_vs_real,original,30000,31000,5344,0,15,0.5,uniform,1.0,0.24647852447874377,0.06075166302921869,ok
real_vs_real,original,31000,32000,5263,0,15,0.5,uniform,1.0,0.2514230434699128,0.06321354678767364,ok
real_vs_real,original,32000,33000,5368,0,15,0.5,uniform,1.0,0.2530531081254476,0.06403587553194949,ok
real_vs_real,original,33000,34000,5210,0,15,0.5,uniform,1.0,0.256465632552824,0.06577462068072014,ok
real_vs_real,original,34000,35000,5314,0,15,0.5,uniform,1.0,0.25844696919902554,0.06679483588816205,ok
real_vs_real,original,35000,36000,5379,0,15,0.5,uniform,1.0,0.25934647989431664,0.06726059663357317,ok
real_vs_real,original,36000,37000,5171,0,15,0.5,uniform,1.0,0.26335739612357445,0.0693571180929893,ok
real_vs_real,original,37000,38000,5192,0,15,0.5,uniform,1.0,0.2642089347857369,0.06980636122061379,ok
real_vs_real,original,38000,39000,5268,0,15,0.5,uniform,1.0,0.2657288225787726,0.07061180714910083,ok
real_vs_real,original,39000,40000,5368,0,15,0.5,uniform,1.0,0.2629760512328141,0.06915640352200365,ok
real_vs_real,original,40000,41000,5281,0,15,0.5,uniform,1.0,0.26426514167599546,0.06983606510503394,ok
real_vs_real,original,41000,42000,5289,0,15,0.5,uniform,1.0,0.2661771399820935,0.070850269849047,ok
real_vs_real,original,42000,43000,5387,0,15,0.5,uniform,1.0,0.26569493088846524,0.07059379629982633,ok
real_vs_real,original,43000,44000,5341,0,15,0.5,uniform,1.0,0.2658451862955359,0.07067366307650819,ok
real_vs_real,original,44000,45000,5405,0,15,0.5,uniform,1.0,0.2688215821083317,0.07226504300722651,ok
real_vs_real,original,45000,46000,5439,0,15,0.5,uniform,1.0,0.2668184811576973,0.07119210188730048,ok
real_vs_real,original,46000,47000,5361,0,15,0.5,uniform,1.0,0.26849942649448055,0.07209194202786497,ok
real_vs_real,original,47000,48000,5386,0,15,0.5,uniform,1.0,0.2659648771855632,0.07073731589633171,ok
real_vs_real,original,48000,49000,5506,0,15,0.5,uniform,1.0,0.2674252183326511,0.07151624740026612,ok
real_vs_real,original,49000,50000,5456,0,15,0.5,uniform,1.0,0.26753323182931876,0.07157403013304,ok
real_vs_real,original,50000,51000,5400,0,15,0.5,uniform,1.0,0.2675459575318775,0.07158083939164918,ok
real_vs_real,original,51000,52000,5625,0,15,0.5,uniform,1.0,0.2651524233465533,0.07030580760654984,ok
real_vs_real,original,52000,53000,5465,0,15,0.5,uniform,1.0,0.2678767489918904,0.07175795265046425,ok
real_vs_real,original,53000,54000,5459,0,15,0.5,uniform,1.0,0.26642371135449155,0.07098159397190144,ok
real_vs_real,original,54000,55000,5471,0,15,0.5,uniform,1.0,0.2665632435258907,0.07105596279904332,ok
real_vs_real,original,55000,56000,5457,0,15,0.5,uniform,1.0,0.2645554376546983,0.06998957959266897,ok
real_vs_real,original,56000,57000,5402,0,15,0.5,uniform,1.0,0.26526718129568483,0.07036667747255773,ok
real_vs_real,original,57000,58000,5352,0,15,0.5,uniform,1.0,0.26486164073397317,0.07015168873229229,ok
real_vs_real,original,58000,59000,5236,0,15,0.5,uniform,1.0,0.26447097541745446,0.06994489683825979,ok
real_vs_real,original,59000,60000,5305,0,15,0.5,uniform,1.0,0.26489569518729955,0.07016972932876271,ok
real_vs_real,original,60000,61000,5017,0,15,0.5,uniform,1.0,0.2648260752113118,0.07013285011182738,ok
real_vs_real,original,61000,62000,5158,0,15,0.5,uniform,1.0,0.2657782850039659,0.07063809677964931,ok
real_vs_real,original,62000,63000,5085,0,15,0.5,uniform,1.0,0.2670063748102856,0.07129240418933072,ok
real_vs_real,original,63000,64000,4961,0,15,0.5,uniform,1.0,0.2674641974937702,0.0715370969409865,ok
real_vs_real,original,64000,65000,5130,0,15,0.5,uniform,1.0,0.2659764902875595,0.07074349338568822,ok
real_vs_real,original,65000,66000,5083,0,15,0.5,uniform,1.0,0.26645562593977357,0.07099860059495652,ok
real_vs_real,original,66000,67000,5145,0,15,0.5,uniform,1.0,0.26567089490005785,0.07058102439699758,ok
real_vs_real,original,67000,68000,5059,0,15,0.5,uniform,1.0,0.26658857579657264,0.07106946874524496,ok
real_vs_real,original,68000,69000,5008,0,15,0.5,uniform,1.0,0.2673443460513702,0.07147299936563477,ok
real_vs_real,original,69000,70000,4854,0,15,0.5,uniform,1.0,0.26897277868307257,0.07234635567249315,ok
real_vs_real,original,70000,71000,4969,0,15,0.5,uniform,1.0,0.269050801567452,0.07238833382408844,ok
real_vs_real,original,71000,72000,4896,0,15,0.5,uniform,1.0,0.26819710515536077,0.07192968721371565,ok
real_vs_real,original,72000,73000,5020,0,15,0.5,uniform,1.0,0.2661221855856712,0.07082101766089442,ok
