comparison_set,variant,window_start,window_end,n_events,kernel_index,rbf_kernel_max_distance,rbf_kernel_target_similarity,weight_method,weight,mmd,mmd_squared,status
real_vs_real,original,16000,17000,4675,0,3,0.5,uniform,1.0,0.025787332529791585,0.0006649865190020473,ok
real_vs_real,original,17000,18000,4381,0,3,0.5,uniform,1.0,0.03638770778569263,0.001324065277896956,ok
real_vs_real,original,18000,19000,4066,0,3,0.5,uniform,1.0,0.04254197872550236,0.0018098199538810955,ok
real_vs_real,original,19000,20000,3949,0,3,0.5,uniform,1.0,0.04467969088013382,0.0019962747771443135,ok
real_vs_real,original,20000,21000,3648,0,3,0.5,uniform,1.0,0.045955883785893895,0.0021119432545425856,ok
real_vs_real,original,21000,22000,3526,0,3,0.5,uniform,1.0,0.04774146436169958,0.002279247419399431,ok
real_vs_real,original,22000,23000,3695,0,3,0.5,uniform,1.0,0.04914638899220676,0.0024153675509733016,ok
real_vs_real,original,23000,24000,3423,0,3,0.5,uniform,1.0,0.050484364896269965,0.0025486710989797347,ok
real_vs_real,original,24000,25000,3360,0,3,0.5,uniform,1.0,0.05145880041096525,0.0026480081397355568,ok
real_vs_real,original,25000,26000,3458,0,3,0.5,uniform,1.0,0.0512408416404177,0.0026256238520183644,ok
real_vs_real,original,26000,27000,3352,0,3,0.5,uniform,1.0,0.051345426321732834,0.002636352804160495,ok
real_vs_real,original,27000,28000,3498,0,3,0.5,uniform,1.0,0.0512699286952682,0.0026286055884178856,ok
real_vs_real,original,28000,29000,3618,0,3,0.5,uniform,1.0,0.0507296559663415,0.0025734979944633672,ok
real_vs_real,original,29000,30000,3510,0,3,0.5,uniform,1.0,0.05170604913051758,0.002673515516687498,ok
real_vs_real,original,30000,31000,3653,0,3,0.5,uniform,1.0,0.05100017270141465,0.00260101761557412,ok
real_vs_real,original,31000,32000,3473,0,3,0.5,uniform,1.0,0.05259888439373273,0.002766642639465261,ok
real_vs_real,original,32000,33000,3466,0,3,0.5,uniform,1.0,0.05223724088377016,0.0027287293351490284,ok
real_vs_real,original,33000,34000,3537,0,3,0.5,uniform,1.0,0.05295964315243084,0.0028047238028328144,ok
real_vs_real,original,34000,35000,4110,0,3,0.5,uniform,1.0,0.05452985768159578,0.0029735053787750907,ok
real_vs_real,original,35000,36000,4951,0,3,0.5,uniform,1.0,0.055775715280350954,0.003110930415034775,ok
real_vs_real,original,36000,37000,5577,0,3,0.5,uniform,1.0,0.055428508417117,0.0030723195453464104,ok
real_vs_real,original,37000,38000,5907,0,3,0.5,uniform,1.0,0.05466062247628806,0.0029877836494952873,ok
real_vs_real,original,38000,39000,6165,0,3,0.5,uniform,1.0,0.05437614962179832,0.0029567656476921973,ok
real_vs_real,original,39000,40000,6115,0,3,0.5,uniform,1.0,0.05437758794487058,0.0029569220707021345,ok
real_vs_real,original,40000,41000,6104,0,3,0.5,uniform,1.0,0.05458634599990472,0.0029796691696213143,ok
real_vs_real,original,41000,42000,6097,0,3,0.5,uniform,1.0,0.05505547215348448,0.0030311050140431057,ok
real_vs_real,original,42000,43000,6192,0,3,0.5,uniform,1.0,0.05491265001683869,0.003015399131871814,ok
real_vs_real,original,43000,44000,6257,0,3,0.5,uniform,1.0,0.05512539665371191,0.0030388093562290727,ok
real_vs_real,original,44000,45000,6675,0,3,0.5,uniform,1.0,0.05464676555637046,0.0029862689857729167,ok
real_vs_real,original,45000,46000,6576,0,3,0.5,uniform,1.0,0.05457051551674904,0.002977941163763748,ok
real_vs_real,original,46000,47000,6608,0,3,0.5,uniform,1.0,0.054626902328127655,0.0029840984579667983,ok
real_vs_real,original,47000,48000,6542,0,3,0.5,uniform,1.0,0.054744498413036524,0.002996960106494958,ok
real_vs_real,original,48000,49000,6307,0,3,0.5,uniform,1.0,0.0550817295876042,0.0030339969343619517,ok
real_vs_real,original,49000,50000,6433,0,3,0.5,uniform,1.0,0.05474378298299878,0.0029968817752896665,ok
real_vs_real,original,50000,51000,6720,0,3,0.5,uniform,1.0,0.05415510508122888,0.002932775406358942,ok
real_vs_real,original,51000,52000,6714,0,3,0.5,uniform,1.0,0.05447101100559731,0.0029670910399719032,ok
real_vs_real,original,52000,53000,6787,0,3,0.5,uniform,1.0,0.054488258650181434,0.0029689703307290718,ok
real_vs_real,original,53000,54000,7124,0,3,0.5,uniform,1.0,0.053821640206018116,0.002896768954466066,ok
real_vs_real,original,54000,55000,7146,0,3,0.5,uniform,1.0,0.05353632561790472,0.0028661381606663212,ok
real_vs_real,original,55000,56000,7339,0,3,0.5,uniform,1.0,0.05333971713189578,0.002845125423710656,ok
real_vs_real,original,56000,57000,7187,0,3,0.5,uniform,1.0,0.05362543284565957,0.002875687047884344,ok
real_vs_real,original,57000,58000,7248,0,3,0.5,uniform,1.0,0.053600108259569984,0.0028729716054376226,ok
real_vs_real,original,58000,59000,7428,0,3,0.5,uniform,1.0,0.05301555926819616,0.0028106495245196197,ok
real_vs_real,original,59000,60000,7223,0,3,0.5,uniform,1.0,0.05318786279194759,0.0028289487483750433,ok
real_vs_real,original,60000,61000,7387,0,3,0.5,uniform,1.0,0.052970720122495575,0.0028058971902957574,ok
real_vs_real,original,61000,62000,7483,0,3,0.5,uniform,1.0,0.05251810855015559,0.0027581517256859258,ok
real_vs_real,original,62000,63000,7357,0,3,0.5,uniform,1.0,0.05266144886407858,0.002773228196463963,ok
real_vs_real,original,63000,64000,7534,0,3,0.5,uniform,1.0,0.05220713270951962,0.0027255847057493935,ok
real_vs_real,original,64000,65000,7511,0,3,0.5,uniform,1.0,0.05223319263047082,0.0027283064123718712,ok
real_vs_real,original,65000,66000,7323,0,3,0.5,uniform,1.0,0.05255576461039342,0.0027621083937830818,ok
real_vs_real,original,66000,67000,7297,0,3,0.5,uniform,1.0,0.05254352445147578,0.0027608219617828336,ok
real_vs_real,original,67000,68000,7158,0,3,0.5,uniform,1.0,0.05254428244575517,0.0027609016177392947,ok
real_vs_real,original,68000,69000,7253,0,3,0.5,uniform,1.0,0.05211304805108924,0.0027157697771751357,ok
real_vs_real,original,69000,70000,7134,0,3,0.5,uniform,1.0,0.05212756830854768,0.002717283377762304,ok
real_vs_real,original,70000,71000,7033,0,3,0.5,uniform,1.0,0.05228437850149483,0.002733656235287575,ok
