comparison_set,window_start,window_end,n_events,mmd,mmd_squared,status
real_vs_real,318000,321000,5558,0.0338997103579649,0.001149190362353913,ok
real_vs_real,633000,636000,6204,0.03405211516732801,0.0011595465473689705,ok
real_vs_real,948000,951000,6263,0.03422823076983906,0.0011715717816333572,ok
real_vs_real,1263000,1266000,6312,0.03449306905411409,0.0011897718127718833,ok
real_vs_real,1578000,1581000,6358,0.03458428676814213,0.0011960728912610908,ok
real_vs_real,1893000,1896000,6211,0.03432860004845789,0.0011784527812869832,ok
real_vs_real,2208000,2211000,6151,0.034239532347040504,0.0011723455753440328,ok
real_vs_real,2523000,2526000,5978,0.033957677468679164,0.0011531238590668405,ok
real_vs_real,2838000,2841000,5960,0.03428824758603582,0.001175683922521291,ok
real_vs_real,3153000,3156000,5808,0.03318103008103938,0.0011009807572388399,ok
real_vs_real,3468000,3471000,5916,0.03277029206658563,0.001073892042129325,ok
real_vs_real,3783000,3786000,5993,0.03278723931075868,0.0010750030616209594,ok
real_vs_real,4098000,4101000,6247,0.03279602039164446,0.0010755789535291593,ok
real_vs_real,4413000,4416000,6297,0.033012995875785704,0.001089857896694644,ok
real_vs_real,4728000,4731000,6513,0.033096260864876687,0.001095362483235968,ok
real_vs_real,5043000,5046000,6625,0.03340496923565023,0.001115891969634738,ok
real_vs_real,5358000,5361000,6684,0.033611014836122347,0.0011297003183140363,ok
real_vs_real,5673000,5676000,6594,0.034179139535061596,0.0011682135793572108,ok
real_vs_real,5988000,5991000,6769,0.034253947796955814,0.001173332939676574,ok
real_vs_real,6303000,6306000,6869,0.03405884658040456,0.0011600050303875353,ok
real_vs_real,6618000,6621000,7096,0.034073801403900865,0.0011610239421124767,ok
real_vs_real,6933000,6936000,6951,0.03390505124895169,0.0011495525001940406,ok
real_vs_real,7248000,7251000,6750,0.03418891973646005,0.0011688822327461078,ok
real_vs_real,7563000,7566000,6376,0.03399135604501807,0.0011554122857791865,ok
real_vs_real,7878000,7881000,6244,0.03325537934821019,0.0011059202555933649,ok
