comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,4808,0.027662548489094205,0.0007652165889114881,ok
real_vs_real,original,17000,18000,4741,0.037583022579192826,0.001412483586188118,ok
real_vs_real,original,18000,19000,4794,0.04594377439110851,0.0021108304053010785,ok
real_vs_real,original,19000,20000,4917,0.05673464204923159,0.0032188196084544374,ok
real_vs_real,original,20000,21000,4805,0.05982750768459274,0.003579330675750003,ok
real_vs_real,original,21000,22000,4786,0.07115760060767187,0.0050634041242409444,ok
real_vs_real,original,22000,23000,4892,0.07734446240468054,0.005982165864669042,ok
real_vs_real,original,23000,24000,5022,0.08599451438971306,0.007395056505122566,ok
real_vs_real,original,24000,25000,5033,0.10316411661963813,0.010642834957910297,ok
real_vs_real,original,25000,26000,5024,0.11248338856147196,0.01265251270227108,ok
real_vs_real,original,26000,27000,5119,0.12393238895589831,0.015359237032316064,ok
real_vs_real,original,27000,28000,4953,0.13624019374332094,0.018561390391217625,ok
real_vs_real,original,28000,29000,4956,0.13770535001078724,0.01896276342159342,ok
real_vs_real,original,29000,30000,5025,0.14223123214181047,0.02022972339657758,ok
real_vs_real,original,30000,31000,4940,0.1502013149776722,0.022560435021021896,ok
real_vs_real,original,31000,32000,5117,0.16128651084893142,0.026013338581822476,ok
real_vs_real,original,32000,33000,4969,0.17569261343186518,0.030867894414518815,ok
real_vs_real,original,33000,34000,5009,0.17971975040440055,0.03229918868542003,ok
real_vs_real,original,34000,35000,4969,0.1940677999124168,0.037662310962845835,ok
real_vs_real,original,35000,36000,5008,0.20035965926470845,0.04014399306067007,ok
real_vs_real,original,36000,37000,4896,0.21058700169596228,0.04434688528329522,ok
real_vs_real,original,37000,38000,4887,0.2168783629902495,0.047036224333330434,ok
real_vs_real,original,38000,39000,4904,0.22486175205772208,0.05056280753846848,ok
real_vs_real,original,39000,40000,4840,0.232624836441677,0.05411431452951698,ok
real_vs_real,original,40000,41000,4773,0.2399194820337962,0.05756135785936506,ok
