comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,4675,6.061004151233039,,ok
real_vs_real,original,17000,18000,4381,10.887743738897878,,ok
real_vs_real,original,18000,19000,4066,18.672965311977993,,ok
real_vs_real,original,19000,20000,3949,26.474775569318744,,ok
real_vs_real,original,20000,21000,3648,33.87790194540325,,ok
real_vs_real,original,21000,22000,3526,34.222240922345186,,ok
real_vs_real,original,22000,23000,3695,35.05274442667646,,ok
real_vs_real,original,23000,24000,3423,38.51165865098361,,ok
real_vs_real,original,24000,25000,3360,41.534731590177714,,ok
real_vs_real,original,25000,26000,3458,38.93854673825962,,ok
real_vs_real,original,26000,27000,3352,39.6138608184156,,ok
real_vs_real,original,27000,28000,3498,36.92623343014869,,ok
real_vs_real,original,28000,29000,3618,36.27163554284773,,ok
real_vs_real,original,29000,30000,3510,38.61565343204106,,ok
real_vs_real,original,30000,31000,3653,35.41220019892217,,ok
real_vs_real,original,31000,32000,3473,38.5964150813467,,ok
real_vs_real,original,32000,33000,3466,41.64890120016139,,ok
real_vs_real,original,33000,34000,3537,44.22937457259475,,ok
real_vs_real,original,34000,35000,4110,48.552373138477684,,ok
real_vs_real,original,35000,36000,4951,51.16283938713931,,ok
real_vs_real,original,36000,37000,5577,48.904889666530465,,ok
real_vs_real,original,37000,38000,5907,47.866683779584534,,ok
real_vs_real,original,38000,39000,6165,48.612769377458434,,ok
real_vs_real,original,39000,40000,6115,46.33442333342968,,ok
real_vs_real,original,40000,41000,6104,47.597771857533935,,ok
real_vs_real,original,41000,42000,6097,46.424938635995666,,ok
real_vs_real,original,42000,43000,6192,46.76908525288107,,ok
real_vs_real,original,43000,44000,6257,46.848479897690616,,ok
real_vs_real,original,44000,45000,6675,45.9923428988583,,ok
real_vs_real,original,45000,46000,6576,45.7575561773735,,ok
real_vs_real,original,46000,47000,6608,47.73232065916921,,ok
real_vs_real,original,47000,48000,6542,47.63158519633521,,ok
real_vs_real,original,48000,49000,6307,47.483718261376325,,ok
real_vs_real,original,49000,50000,6433,47.66912019067673,,ok
real_vs_real,original,50000,51000,6720,46.44236941973726,,ok
real_vs_real,original,51000,52000,6714,48.6760987132479,,ok
real_vs_real,original,52000,53000,6787,48.897758328793735,,ok
real_vs_real,original,53000,54000,7124,49.8378513530681,,ok
real_vs_real,original,54000,55000,7146,50.36964470965679,,ok
