comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,4808,0.027059248857393192,0.0007322029487263348,ok
real_vs_real,original,17000,18000,4741,0.0495999775800218,0.002460157775938665,ok
real_vs_real,original,18000,19000,4794,0.06845105710850567,0.004685547219271904,ok
real_vs_real,original,19000,20000,4917,0.08812774764785183,0.007766499905483455,ok
real_vs_real,original,20000,21000,4805,0.10831008838999387,0.011731075247048285,ok
real_vs_real,original,21000,22000,4786,0.12454326372881858,0.015511024540226057,ok
real_vs_real,original,22000,23000,4892,0.13873397194059053,0.01924711497041256,ok
real_vs_real,original,23000,24000,5022,0.15326293902639432,0.02348952847900826,ok
real_vs_real,original,24000,25000,5033,0.16603329966630223,0.027567056598080113,ok
real_vs_real,original,25000,26000,5024,0.1782973928060628,0.031789960281439454,ok
real_vs_real,original,26000,27000,5119,0.18845912838136464,0.035516843070263676,ok
real_vs_real,original,27000,28000,4953,0.19932994322821632,0.039732426267363945,ok
real_vs_real,original,28000,29000,4956,0.20793456652660502,0.04323678395660713,ok
real_vs_real,original,29000,30000,5025,0.2132863108381632,0.04549105039095358,ok
real_vs_real,original,30000,31000,4940,0.22034195279390187,0.048550576161030076,ok
real_vs_real,original,31000,32000,5117,0.2237891827275068,0.05008159830584543,ok
real_vs_real,original,32000,33000,4969,0.23135229110093553,0.053523882597652006,ok
real_vs_real,original,33000,34000,5009,0.2334258597947005,0.05448763202089518,ok
real_vs_real,original,34000,35000,4969,0.23797102612060816,0.05663020927289518,ok
real_vs_real,original,35000,36000,5008,0.2402120153390583,0.057701812313251985,ok
real_vs_real,original,36000,37000,4896,0.24394550251536762,0.05950940819747522,ok
real_vs_real,original,37000,38000,4887,0.24545064034367153,0.06024601684511839,ok
real_vs_real,original,38000,39000,4904,0.24556483016263583,0.060302085812804176,ok
real_vs_real,original,39000,40000,4840,0.24940610916349956,0.062203407288075455,ok
real_vs_real,original,40000,41000,4773,0.2501431388222361,0.06257158989984049,ok
real_vs_real,original,41000,42000,4866,0.2518252535058286,0.06341595830327483,ok
real_vs_real,original,42000,43000,4828,0.25266215073727755,0.06383816241518676,ok
real_vs_real,original,43000,44000,4837,0.25490437108202874,0.0649762383967246,ok
real_vs_real,original,44000,45000,4798,0.2560571703361324,0.06556527448054711,ok
real_vs_real,original,45000,46000,4591,0.25731704127870675,0.06621205973242766,ok
real_vs_real,original,46000,47000,4649,0.25557942814204115,0.06532084408941279,ok
real_vs_real,original,47000,48000,4708,0.2559890208319847,0.0655303787865183,ok
real_vs_real,original,48000,49000,4679,0.2568468186943566,0.0659702882734117,ok
real_vs_real,original,49000,50000,4694,0.2597757803510679,0.06748345605700629,ok
real_vs_real,original,50000,51000,4734,0.25960293179262556,0.0673936821953266,ok
real_vs_real,original,51000,52000,4671,0.26019541648033745,0.06770165475737627,ok
real_vs_real,original,52000,53000,4528,0.2597770385737149,0.06748410977012938,ok
real_vs_real,original,53000,54000,4499,0.26155914287398996,0.0684131852209763,ok
real_vs_real,original,54000,55000,4467,0.26116863019969977,0.06820905340038753,ok
real_vs_real,original,55000,56000,4426,0.2628857261818678,0.06910890503016798,ok
