comparison_set,variant,window_start,window_end,n_events,kernel_index,rbf_kernel_max_distance,rbf_kernel_target_similarity,weight_method,weight,mmd,mmd_squared,status
real_vs_real,original,16000,17000,3519,0,75,0.5,uniform,1.0,0.014711251741348658,0.0002164209277973339,ok
real_vs_real,original,17000,18000,3408,0,75,0.5,uniform,1.0,0.024635657317934104,0.0006069156114866803,ok
real_vs_real,original,18000,19000,3506,0,75,0.5,uniform,1.0,0.028677209858596567,0.0008223823652739881,ok
real_vs_real,original,19000,20000,3402,0,75,0.5,uniform,1.0,0.03462811664049895,0.0011991064620680003,ok
real_vs_real,original,20000,21000,3464,0,75,0.5,uniform,1.0,0.046333290558775456,0.0021467738140039105,ok
real_vs_real,original,21000,22000,3532,0,75,0.5,uniform,1.0,0.061679776446889815,0.003804394822538304,ok
real_vs_real,original,22000,23000,3460,0,75,0.5,uniform,1.0,0.049904826404842506,0.0024904916984974657,ok
real_vs_real,original,23000,24000,3459,0,75,0.5,uniform,1.0,0.05972237366538152,0.0035667619162274566,ok
real_vs_real,original,24000,25000,3564,0,75,0.5,uniform,1.0,0.06056789253787335,0.0036684696064793743,ok
real_vs_real,original,25000,26000,3450,0,75,0.5,uniform,1.0,0.07398309907569185,0.005473498948843636,ok
real_vs_real,original,26000,27000,3432,0,75,0.5,uniform,1.0,0.07630322873619985,0.0058221827155688355,ok
real_vs_real,original,27000,28000,3398,0,75,0.5,uniform,1.0,0.08676226514924126,0.007527690653827246,ok
real_vs_real,original,28000,29000,3451,0,75,0.5,uniform,1.0,0.08825792416489282,0.007789461177895973,ok
real_vs_real,original,29000,30000,3333,0,75,0.5,uniform,1.0,0.09293428752800366,0.008636781798337656,ok
real_vs_real,original,30000,31000,3420,0,75,0.5,uniform,1.0,0.10342680103241592,0.01069710317179895,ok
real_vs_real,original,31000,32000,3535,0,75,0.5,uniform,1.0,0.1074074904010306,0.011536368994247481,ok
real_vs_real,original,32000,33000,3445,0,75,0.5,uniform,1.0,0.12350252859128562,0.015252874568441321,ok
real_vs_real,original,33000,34000,3370,0,75,0.5,uniform,1.0,0.1252771292815236,0.015694359121019574,ok
real_vs_real,original,34000,35000,3452,0,75,0.5,uniform,1.0,0.1288836598669751,0.016610997780706127,ok
real_vs_real,original,35000,36000,3392,0,75,0.5,uniform,1.0,0.1355058478837354,0.018361834810690036,ok
real_vs_real,original,36000,37000,3231,0,75,0.5,uniform,1.0,0.1403919761612935,0.0197099069704732,ok
real_vs_real,original,37000,38000,3336,0,75,0.5,uniform,1.0,0.1491447891286751,0.022244168124236963,ok
real_vs_real,original,38000,39000,3313,0,75,0.5,uniform,1.0,0.1530788323605535,0.023433128916870438,ok
real_vs_real,original,39000,40000,3326,0,75,0.5,uniform,1.0,0.15844401620909082,0.02510450627246663,ok
real_vs_real,original,40000,41000,3332,0,75,0.5,uniform,1.0,0.17274441459028952,0.02984063277214183,ok
