comparison_set,variant,window_start,window_end,n_events,kernel_index,rbf_kernel_max_distance,rbf_kernel_target_similarity,weight_method,weight,mmd,mmd_squared,status
real_vs_real,original,16000,17000,1393,0,15,0.5,uniform,1.0,0.04335270726479785,0.0018794572271872562,ok
real_vs_real,original,17000,18000,1380,0,15,0.5,uniform,1.0,0.0383374892737341,0.0014697630838136772,ok
real_vs_real,original,18000,19000,1391,0,15,0.5,uniform,1.0,0.06116381659845784,0.0037410124608897866,ok
real_vs_real,original,19000,20000,1441,0,15,0.5,uniform,1.0,0.05049882142680425,0.002550130965496264,ok
real_vs_real,original,20000,21000,1400,0,15,0.5,uniform,1.0,0.059129705611285326,0.003496322085677267,ok
real_vs_real,original,21000,22000,1484,0,15,0.5,uniform,1.0,0.05488484559316105,0.00301234627578513,ok
real_vs_real,original,22000,23000,1420,0,15,0.5,uniform,1.0,0.05803594256147013,0.00336817062899826,ok
real_vs_real,original,23000,24000,1464,0,15,0.5,uniform,1.0,0.06508773972467458,0.004236413862466981,ok
real_vs_real,original,24000,25000,1422,0,15,0.5,uniform,1.0,0.07402617452882117,0.005479874515371491,ok
real_vs_real,original,25000,26000,1437,0,15,0.5,uniform,1.0,0.08052145204042738,0.006483704238698845,ok
real_vs_real,original,26000,27000,1461,0,15,0.5,uniform,1.0,0.08944945022643096,0.00800120414581075,ok
real_vs_real,original,27000,28000,1464,0,15,0.5,uniform,1.0,0.09442960784059677,0.008916950836928894,ok
real_vs_real,original,28000,29000,1395,0,15,0.5,uniform,1.0,0.09595353561322437,0.009207080996678316,ok
real_vs_real,original,29000,30000,1535,0,15,0.5,uniform,1.0,0.10377477489593649,0.01076920390470229,ok
real_vs_real,original,30000,31000,1471,0,15,0.5,uniform,1.0,0.10305983416762375,0.010621329418658107,ok
real_vs_real,original,31000,32000,1518,0,15,0.5,uniform,1.0,0.11000243814892445,0.01210053639870795,ok
real_vs_real,original,32000,33000,1454,0,15,0.5,uniform,1.0,0.11963195753554563,0.014311805263786594,ok
real_vs_real,original,33000,34000,1454,0,15,0.5,uniform,1.0,0.12453188124854032,0.01550818944730055,ok
real_vs_real,original,34000,35000,1436,0,15,0.5,uniform,1.0,0.1330376212844858,0.017699008677034264,ok
real_vs_real,original,35000,36000,1491,0,15,0.5,uniform,1.0,0.13514045040973108,0.018262941336944984,ok
real_vs_real,original,36000,37000,1450,0,15,0.5,uniform,1.0,0.14147585663218243,0.02001541800980984,ok
real_vs_real,original,37000,38000,1525,0,15,0.5,uniform,1.0,0.14577138059470107,0.021249295400485195,ok
real_vs_real,original,38000,39000,1480,0,15,0.5,uniform,1.0,0.14580545557080166,0.021259230874209015,ok
real_vs_real,original,39000,40000,1500,0,15,0.5,uniform,1.0,0.1534709854592231,0.023553343377825067,ok
real_vs_real,original,40000,41000,1460,0,15,0.5,uniform,1.0,0.15937813533129086,0.025401390021679265,ok
real_vs_real,original,41000,42000,1410,0,15,0.5,uniform,1.0,0.16056775385096442,0.0257820035767439,ok
real_vs_real,original,42000,43000,1495,0,15,0.5,uniform,1.0,0.16998622820252585,0.028895317778521196,ok
real_vs_real,original,43000,44000,1441,0,15,0.5,uniform,1.0,0.17827162841422803,0.03178077349746059,ok
real_vs_real,original,44000,45000,1482,0,15,0.5,uniform,1.0,0.17664855680799435,0.03120471262234721,ok
real_vs_real,original,45000,46000,1530,0,15,0.5,uniform,1.0,0.17815956420833515,0.031740830318903894,ok
real_vs_real,original,46000,47000,1479,0,15,0.5,uniform,1.0,0.18588662789646432,0.03455383843071859,ok
real_vs_real,original,47000,48000,1498,0,15,0.5,uniform,1.0,0.18745201138946962,0.035138256573957846,ok
real_vs_real,original,48000,49000,1482,0,15,0.5,uniform,1.0,0.18598563515970382,0.03459065648575845,ok
real_vs_real,original,49000,50000,1498,0,15,0.5,uniform,1.0,0.19728492059738645,0.03892133989511708,ok
real_vs_real,original,50000,51000,1468,0,15,0.5,uniform,1.0,0.20057514125140374,0.04023038728802056,ok
real_vs_real,original,51000,52000,1438,0,15,0.5,uniform,1.0,0.2103078002958013,0.04422937086525864,ok
real_vs_real,original,52000,53000,1524,0,15,0.5,uniform,1.0,0.21011240443913645,0.04414722249919525,ok
real_vs_real,original,53000,54000,1532,0,15,0.5,uniform,1.0,0.2058999212616471,0.04239477757555248,ok
real_vs_real,original,54000,55000,1456,0,15,0.5,uniform,1.0,0.2110442791876463,0.044539687777833195,ok
real_vs_real,original,55000,56000,1443,0,15,0.5,uniform,1.0,0.2149881893484862,0.046219921559340564,ok
real_vs_real,original,56000,57000,1488,0,15,0.5,uniform,1.0,0.2184645616230384,0.04772676468514634,ok
real_vs_real,original,57000,58000,1542,0,15,0.5,uniform,1.0,0.21818298473958658,0.04760381482987468,ok
real_vs_real,original,58000,59000,1485,0,15,0.5,uniform,1.0,0.21927478954998048,0.04808143333218822,ok
real_vs_real,original,59000,60000,1469,0,15,0.5,uniform,1.0,0.22582720021507613,0.05099792435698008,ok
real_vs_real,original,60000,61000,1519,0,15,0.5,uniform,1.0,0.22602957158218734,0.05108936722962715,ok
real_vs_real,original,61000,62000,1546,0,15,0.5,uniform,1.0,0.2270517861554274,0.051552513596369934,ok
real_vs_real,original,62000,63000,1495,0,15,0.5,uniform,1.0,0.23323352877651057,0.05439787894554338,ok
