comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,6166,0.020757936965726684,0.00043089194707308237,ok
real_vs_real,original,17000,18000,6186,0.029580145717907923,0.0008749850206926663,ok
real_vs_real,original,18000,19000,6141,0.037060089909200435,0.0013734502640780199,ok
real_vs_real,original,19000,20000,5941,0.04219409607476818,0.0017803417435667676,ok
real_vs_real,original,20000,21000,5943,0.045070487841561195,0.0020313488742763155,ok
real_vs_real,original,21000,22000,5867,0.04639867320619456,0.0021528368752952373,ok
real_vs_real,original,22000,23000,5827,0.047607359723770615,0.0022664606998684966,ok
real_vs_real,original,23000,24000,5781,0.048252970614831026,0.0023283491731557466,ok
real_vs_real,original,24000,25000,5741,0.048639153889864666,0.002365767291121937,ok
real_vs_real,original,25000,26000,5606,0.04921498274336197,0.0024221145264294165,ok
real_vs_real,original,26000,27000,5736,0.0489777932604449,0.002398824232662882,ok
real_vs_real,original,27000,28000,5434,0.049600801035627466,0.0024602394633759027,ok
real_vs_real,original,28000,29000,5344,0.04990920942803631,0.0024909291857315883,ok
real_vs_real,original,29000,30000,5340,0.05011842541470342,0.0025118565660491895,ok
real_vs_real,original,30000,31000,5344,0.05005581514243796,0.002505584629573921,ok
real_vs_real,original,31000,32000,5263,0.050368121898424024,0.002536947703574502,ok
real_vs_real,original,32000,33000,5368,0.05002525752320853,0.0025025263902633313,ok
real_vs_real,original,33000,34000,5210,0.050418331926125805,0.002542008194212997,ok
real_vs_real,original,34000,35000,5314,0.0504096653389633,0.0025411343595862783,ok
real_vs_real,original,35000,36000,5379,0.05013178913183739,0.0025131962815590093,ok
real_vs_real,original,36000,37000,5171,0.05067097493664798,0.002567547701030408,ok
real_vs_real,original,37000,38000,5192,0.05051245945064552,0.0025515085597531077,ok
real_vs_real,original,38000,39000,5268,0.050495759112990715,0.0025498216883971846,ok
real_vs_real,original,39000,40000,5368,0.05030828849082475,0.0025309238908760496,ok
real_vs_real,original,40000,41000,5281,0.05056938181509794,0.002557262377161158,ok
real_vs_real,original,41000,42000,5289,0.050898422515250764,0.0025906494145409857,ok
real_vs_real,original,42000,43000,5387,0.0507054901093766,0.002571046727232088,ok
real_vs_real,original,43000,44000,5341,0.05093573434923441,0.002594449033695778,ok
real_vs_real,original,44000,45000,5405,0.051128118965932605,0.0026140845489945573,ok
real_vs_real,original,45000,46000,5439,0.050798890899684306,0.002580527316638029,ok
real_vs_real,original,46000,47000,5361,0.0510590349598472,0.0026070250510308985,ok
real_vs_real,original,47000,48000,5386,0.05081645863372198,0.002582312468072777,ok
real_vs_real,original,48000,49000,5506,0.05094003485167137,0.0025948871506894936,ok
real_vs_real,original,49000,50000,5456,0.05106880454609404,0.0026080227977671555,ok
real_vs_real,original,50000,51000,5400,0.05137441601100419,0.0026393306204717235,ok
real_vs_real,original,51000,52000,5625,0.05055161831413068,0.002555466114177552,ok
real_vs_real,original,52000,53000,5465,0.050875033690921584,0.0025882690530524065,ok
real_vs_real,original,53000,54000,5459,0.050966564880478106,0.0025975907357159845,ok
real_vs_real,original,54000,55000,5471,0.0508584078693883,0.0025865776510090575,ok
real_vs_real,original,55000,56000,5457,0.050481933206151644,0.002548425580230356,ok
