comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,108000,109000,3050,37.74501036887426,,ok
real_vs_real,original,109000,110000,3088,37.49965550660588,,ok
real_vs_real,original,110000,111000,2998,37.72960780419412,,ok
real_vs_real,original,111000,112000,2938,37.177309313924056,,ok
real_vs_real,original,112000,113000,2877,37.95999209204215,,ok
real_vs_real,original,113000,114000,2933,40.376229713291465,,ok
real_vs_real,original,114000,115000,2879,38.87474084494571,,ok
real_vs_real,original,115000,116000,2955,39.736324138484136,,ok
real_vs_real,original,116000,117000,2985,39.80597265342472,,ok
real_vs_real,original,117000,118000,3103,38.38051768699573,,ok
real_vs_real,original,118000,119000,2790,41.051810102216145,,ok
real_vs_real,original,119000,120000,2753,41.84406276787682,,ok
real_vs_real,original,120000,121000,2783,43.06128040428114,,ok
real_vs_real,original,121000,122000,2647,42.05418626511716,,ok
real_vs_real,original,122000,123000,2849,43.74166150062297,,ok
real_vs_real,original,123000,124000,2833,41.79276226708359,,ok
real_vs_real,original,124000,125000,2814,43.51582110383109,,ok
real_vs_real,original,125000,126000,2872,41.672109036686024,,ok
real_vs_real,original,126000,127000,2804,44.37407844719363,,ok
real_vs_real,original,127000,128000,2655,44.168490323072035,,ok
real_vs_real,original,128000,129000,2672,44.423152331630284,,ok
real_vs_real,original,129000,130000,2607,44.4796457928687,,ok
real_vs_real,original,130000,131000,2654,46.152506608552024,,ok
real_vs_real,original,131000,132000,2811,43.043912300445335,,ok
real_vs_real,original,132000,133000,2823,43.173606173157395,,ok
real_vs_real,original,133000,134000,2842,41.88702594686926,,ok
real_vs_real,original,134000,135000,2834,42.418334194325595,,ok
real_vs_real,original,135000,136000,2751,44.05345802210513,,ok
real_vs_real,original,136000,137000,2629,43.60981334805467,,ok
real_vs_real,original,137000,138000,2622,45.57945703454887,,ok
real_vs_real,original,138000,139000,2607,48.02290070463399,,ok
real_vs_real,original,139000,140000,2741,47.33896710475503,,ok
real_vs_real,original,140000,141000,2641,46.33045455760635,,ok
real_vs_real,original,141000,142000,2646,47.71042019965584,,ok
real_vs_real,original,142000,143000,2796,45.10571876356507,,ok
real_vs_real,original,143000,144000,2539,46.834782232409225,,ok
real_vs_real,original,144000,145000,2533,48.040836396117534,,ok
real_vs_real,original,145000,146000,2477,47.365310300863975,,ok
real_vs_real,original,146000,147000,2469,50.24266551452128,,ok
real_vs_real,original,147000,148000,2460,49.74368073280459,,ok
real_vs_real,original,148000,149000,2509,47.656859023639335,,ok
real_vs_real,original,149000,150000,2559,48.278841751524894,,ok
real_vs_real,original,150000,151000,2596,47.252014741510266,,ok
real_vs_real,original,151000,152000,2451,47.72773220546769,,ok
real_vs_real,original,152000,153000,2419,49.88220634690941,,ok
real_vs_real,original,153000,154000,2331,50.59503713520059,,ok
real_vs_real,original,154000,155000,2254,51.965658692927086,,ok
real_vs_real,original,155000,156000,2259,50.79492420692358,,ok
real_vs_real,original,156000,157000,2283,50.8252952727234,,ok
real_vs_real,original,157000,158000,2306,51.675774202783266,,ok
real_vs_real,original,158000,159000,2341,48.52559720960837,,ok
real_vs_real,original,159000,160000,2283,48.20652197070745,,ok
real_vs_real,original,160000,161000,2287,50.568678387327296,,ok
real_vs_real,original,161000,162000,2030,49.83099410486701,,ok
real_vs_real,original,162000,163000,2119,50.44180014851165,,ok
real_vs_real,original,163000,164000,2004,50.78149031034561,,ok
real_vs_real,original,164000,165000,1954,51.95537050380139,,ok
real_vs_real,original,165000,166000,1935,49.17841327078197,,ok
real_vs_real,original,166000,167000,1848,51.24886722754064,,ok
real_vs_real,original,167000,168000,1907,47.82700826967956,,ok
real_vs_real,original,168000,169000,1844,49.220088782700614,,ok
real_vs_real,original,169000,170000,1639,53.279948458317804,,ok
real_vs_real,original,170000,171000,1626,56.62379502462848,,ok
real_vs_real,original,171000,172000,1476,61.882239266068005,,ok
real_vs_real,original,172000,173000,1466,59.02996786156788,,ok
real_vs_real,original,173000,174000,1466,57.99007114259288,,ok
real_vs_real,original,174000,175000,1527,57.56693884031621,,ok
real_vs_real,original,175000,176000,1578,45.84740265905624,,ok
real_vs_real,original,176000,177000,1659,52.238771421526096,,ok
real_vs_real,original,177000,178000,1580,57.291948901537076,,ok
real_vs_real,original,178000,179000,1585,57.354989474030205,,ok
real_vs_real,original,179000,180000,1473,59.37150025402968,,ok
real_vs_real,original,180000,181000,1523,63.62115109501443,,ok
real_vs_real,original,181000,182000,1554,52.716124980235136,,ok
real_vs_real,original,182000,183000,1569,55.182449275850665,,ok
real_vs_real,original,183000,184000,1576,50.06594394085728,,ok
real_vs_real,original,184000,185000,1670,46.55158081645846,,ok
real_vs_real,original,185000,186000,1638,53.71136792663614,,ok
real_vs_real,original,186000,187000,1569,52.99945663073204,,ok
